S_id	Corr_ds_ref_PTR	Corr_ds_ref_Relab	species_name
SRS147652_2	-0.072483018	-0.09320751	Clostridia HGM11418
1697787.3	-0.074478029	-0.114634118	Clostridium sp.
665951.3	-0.079491553	-0.00517426	Ruminococcus torques
SRS056519_39	-0.080876825	0.00407047	Eubacterium sp.
ERS537240_18	-0.085342937	0.296269645	Roseburia intestinalis
59620.13	-0.087967467	-0.150477387	D16 sp.
ERS537392_14	-0.09099418	-0.053986045	Lachnospiraceae HGM11918
ERS473381_6	-0.093155684	-0.131986362	Parabacteroides johnsonii
SRS1735557_8	-0.098338119	0.207979153	Bacteroides fragilis
ERS608550_86	-0.099480914	-0.03771106	Ruminiclostridium HGM13346
ERS537338_17	-0.10879135	-0.068399357	Bacteroides plebeius
742725.3	-0.11028766	-0.069418251	Alistipes indistinctus
59620.49	-0.111822199	-0.022240676	Erysipelatoclostridium sp.
ERS537180_31	-0.114749074	0.034093507	Parasutterella sp.
SRS476037_7	-0.115004155	-0.003947573	Prevotella HGM04863
2562617183	-0.116606574	-0.064619653	D16 sp.
ERS608507_35	-0.117947364	-0.136196867	Agathobaculum butyriciproducens
SRS820605_29	-0.118214891	-0.066348644	Ruminococcaceae sp.
ERS473343_37	-0.119525066	8.24E-06	COE1 sp.
SRS143991_10	-0.120578752	-0.13856197	DTU089 HGM12772
ERS396465_42	-0.126234693	-0.08821003	Lachnospiraceae sp.
ERS473331_31	-0.128867839	-0.083066314	Bacteroides nordii
SRS475574_7	-0.131048757	-0.158819078	D16 HGM13112
ERS608530_15	-0.133518711	-0.093572705	Ruminococcus sp.
ERS537236_4	-0.134149496	-0.150836139	Alistipes sp.
349741.6	-0.134631656	0.074179751	Akkermansia muciniphila
SRS144714_48	-0.136929646	0.184418087	Prevotella copri
1263073.3	-0.13769526	-0.169961988	Dorea formicigenerans
SRS021219_12	-0.138706631	-0.084473013	Bacteroides eggerthii
SRS476121_4	-0.13938802	0.006855027	PeH17 sp.
1121101.3	-0.140810154	-0.164143149	Bacteroides salyersiae
ERS473088_19	-0.142314078	-0.103401821	KLE1615 sp.
ERS473414_25	-0.143257828	-0.108938345	DTU089 sp.
ERS473219_31	-0.150357955	-0.080188065	Lachnospiraceae sp.
657309.4	-0.1505225	-0.144019988	Bacteroides xylanisolvens
SRS1596849_88	-0.150832116	-0.007151924	Bifidobacterium sp.
ERS396528_23	-0.151184158	-0.026323881	Ruminococcus sp.
SRS1596857_138	-0.153347052	-0.091648708	Ruminococcus callidus
SRS476024_18	-0.155316979	-0.019081653	Ruminococcus faecis
ERS608502_34	-0.156061707	0.000366389	Oscillospiraceae sp.
ERS537292_27	-0.15669293	-0.076567401	Clostridium HGM12201
SRS019582_79	-0.158170373	-0.028063017	Oscillospiraceae sp.
33043.5	-0.159984174	-0.004839691	Coprococcus eutactus
SRS024075_3	-0.163418723	0.00558584	Ruminococcaceae sp.
ERS608550_64	-0.163501008	-0.025308614	Clostridium sp.
1263107.3	-0.165621136	-0.125197476	Ruminococcus obeum
ERS537358_50	-0.165714984	-0.054245098	Oscillospiraceae sp.
SRS476326_100	-0.16643466	-0.045027412	Oscillospiraceae sp.
ERS537246_12	-0.168068931	0.020936537	Lachnospiraceae HGM12596
1262777.3	-0.16909546	-0.136871371	Eubacterium sp.
ERS608510_48	-0.169422777	-0.055156033	Phascolarctobacterium sp.
SRS1596777_76	-0.173610367	-0.089411262	Oscillospiraceae HGM13037
SRS015663_20	-0.17424243	-0.077327044	Clostridium leptum
SRS294956_23	-0.175466093	-0.067730701	UBA1381 sp.
765821.5	-0.17584981	0.11451161	Blautia sp.
927665.4	-0.176748981	-0.060325467	Parabacteroides goldsteinii
SRS020328_21	-0.179424812	-0.010384902	DTU089 sp.
ERS396428_22	-0.181636702	-0.000297194	Roseburia hominis
39488.4	-0.182991411	-0.000663184	Eubacterium sp.
ERS473240_3	-0.184562531	-0.125361104	Butyricimonas synergistica
SRS1596807_67	-0.187388547	0.157922308	Sutterella wadsworthensis
ERS235534_25	-0.187847848	-0.174168495	Oscillospiraceae HGM12989
SRS076929_37	-0.188071213	-0.026909928	Lachnospira sp.
ERS608606_84	-0.188510684	-0.02195353	DTU089 HGM12731
ERS537306_47	-0.18928259	-0.053984328	Phascolarctobacterium sp.
SRS475693_1	-0.194065075	-0.055953475	Lachnospiraceae sp.
ERS537369_59	-0.194084361	-0.11838284	Paraprevotella clara
ERS537252_4	-0.197532587	-0.02760348	DTU089 sp.
ERS608493_46	-0.198632709	-0.107948011	Oscillospiraceae sp.
ERS537293_53	-0.198820864	0.098857883	Lachnospira pectinoschiza
ERS396436_36	-0.199943767	-0.028158856	Anaerostipes hadrus
ERS473180_17	-0.200892532	-0.130501904	Butyricimonas sp.
ERS537352_6	-0.201561449	-0.174794335	Oscillospiraceae HGM13038
ERS537194_38	-0.201591507	-0.041617323	Acidaminococcaceae sp.
ERS235525_24	-0.201696736	-0.045303146	Ruminococcus sp.
657319.15	-0.206001722	-0.073125922	Ruminiclostridium sp.
SRS294840_55	-0.206322451	-0.060959348	DTU089 sp.
SRS050752_17	-0.216074363	-0.15255514	Ruminococcus lactaris
ERS537188_55	-0.219266704	-0.168760631	Alistipes sp.
ERS608495_69	-0.221709638	-0.112698558	UBA11524 sp.
SRS1596842_68	-0.225244714	-0.061664233	Eubacterium HGM12316
1263074.4	-0.225869418	-0.050028455	Dorea longicatena
649756.4	-0.226332117	-0.043777971	Anaerostipes hadrus
59620.24	-0.227432382	-0.170337259	Lachnospiraceae sp.
ERS537183_49	-0.23711529	-0.155459851	Lachnospiraceae sp.
1203465.3	-0.237363645	-0.102978783	Bacteroides sp.
ERS537247_14	-0.240110702	-0.082242978	Gemmiger formicilis
765821.8	-0.241698844	-0.109707019	Blautia sp.
483215.6	-0.243989749	-0.196576695	Bacteroides finegoldii
1262947.3	-0.244107071	-0.046534933	Lachnospiraceae sp.
1262992.3	-0.252221033	-0.216654324	Oscillospiraceae sp.
ERS537221_53	-0.256536032	-0.10675785	Lachnospira sp.
ERS396493_5	-0.256946302	-0.183939297	ER4 sp.
1262754.3	-0.262948504	-0.140815056	Bacteroides massiliensis
SRS075878_45	-0.263571903	0.050073052	Roseburia faecis
SRS1735456_15	-0.274173048	-0.048586948	Ruminococcus bromii
1650661.3	-0.275940653	-0.268626608	D16 sp.
ERS631833_15	-0.277697795	-0.095485068	Oscillospiraceae sp.
SRS1719444_21	-0.279256009	-0.040696448	Clostridium sp.
SRS294989_46	-0.285234738	-0.16300393	Eubacterium sp.
SRS1596800_42	-0.286232961	-0.132515921	Bilophila wadsworthia
709991.3	-0.288693602	-0.355225121	Odoribacter splanchnicus
1263070.3	-0.295508666	-0.188040463	Coprococcus comes
ERS473051_14	-0.296214389	-0.168969241	Lachnospiraceae sp.
246787.5	-0.297703305	-0.144807963	Bacteroides cellulosilyticus
SRS1596798_70	-0.310120275	-0.043389443	Oscillibacter sp.
742821.3	-0.320554651	-0.245901793	Sutterella wadsworthensis
1263105.3	-0.321634341	0.096450951	Roseburia inulinivorans
SRS098061_38	-0.333133076	-0.071220383	Ruminococcus bicirculans
SRS820594_22	-0.334968275	-0.135870061	Alistipes finegoldii
SRS049402_2	-0.336446223	-0.183296567	Alistipes sp.
ERS608519_39	-0.33698756	-0.10093313	Faecalibacterium HGM13282
ERS235560_81	-0.340339773	-0.041349518	Lachnospira sp.
ERS235564_44	-0.346104015	-0.0004028	Subdoligranulum sp.
2654588179	-0.368105251	-0.041375584	Bacteroides thetaiotaomicron
SRS020233_5	-0.372689574	-0.212616937	Barnesiella intestinihominis
ERS396509_31	-0.373179231	-0.176482357	Clostridium sp.
SRS019910_14	-0.389389854	-0.221689104	ER4 sp.
ERS473122_41	-0.394364784	-0.156699599	Eubacterium sp.
46503.4	-0.400274202	-0.265238895	Parabacteroides merdae
28116.19	-0.404734993	0.054397828	Bacteroides ovatus
SRS373206_4	-0.405823469	-0.181734862	Bacteroides caccae
SRS1596872_171	-0.413074895	-0.189684676	Faecalibacterium sp.
SRS050026_15	-0.417107244	-0.288695416	Alistipes shahii
SRS104400_3	-0.419825843	-0.146235196	Lachnospiraceae sp.
SRS017307_13	-0.431519805	-0.098710279	Faecalibacterium HGM13285
469591.4	-0.433797819	0.068074847	Parabacteroides distasonis
SRS098717_4	-0.440865666	-0.147210072	Alistipes finegoldii
ERS537219_61	-0.452772146	0.083084478	Fusicatenibacter saccharivorans
1897011.3	-0.458486681	-0.272101875	Oscillibacter sp.
SRS077849_38	-0.459548143	0.037131958	Lachnospiraceae sp.
702446.3	-0.459979741	-0.311478639	Bacteroides vulgatus
ERS537233_63	-0.47102272	-0.189443262	Faecalibacterium HGM13278
1952006.3	-0.484504448	-0.085106389	Agathobacter sp.
ERS537229_8	-0.485493759	-0.273544912	Faecalibacterium sp.
SRS077552_27	-0.488740402	0.127582108	Faecalibacterium sp.
445970.5	-0.49958651	-0.411811837	Alistipes putredinis
SRS332210_5	-0.51226412	-0.128268604	Faecalibacterium HGM13279
ERS396406_17	-0.53847948	-0.059074074	Agathobacter sp.
1236512.3	-0.557758129	-0.32067193	Bacteroides rodentium
SRS142712_3	-0.57307446	-0.049266678	Faecalibacterium sp.
SRS1735679_4	-0.583664355	-0.357974531	Bacteroides uniformis
SRS077502_20	-0.615017461	0.034595095	Faecalibacterium sp.
