# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin1015.fa	taxid assigned	based on 2311/2355 ORFs	1;131567;2;1783272;1239;909932;1843488;909930;33024	1.00;1.00;1.00;0.82;0.82;0.78;0.78;0.78;0.78	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	no support
Bin1016.fa	taxid assigned	based on 1982/2002 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.95;0.94	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin1017.fa	taxid assigned	based on 3981/4013 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.78;0.78;0.78;0.78;0.78	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin1018.fa	taxid assigned	based on 2008/2027 ORFs	1;131567;2;1783272;1239;91061;186826;1300;1301	1.00;0.97;0.97;0.75;0.73;0.71;0.59;0.58;0.58	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no support
Bin1019.fa	taxid assigned	based on 2114/2147 ORFs	1;131567;2	1.00;0.99;0.99	Bacteria	no support	no support	no support	no support	no support	no support
Bin102.fa	taxid assigned	based on 2222/2250 ORFs	1;131567;2;1783272;1239;909932;1843488;909930;33024	1.00;1.00;1.00;0.83;0.83;0.79;0.79;0.79;0.79	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	no support
Bin1020.fa	taxid assigned	based on 2593/2647 ORFs	1;131567;2;1224;28216;80840;995019;40544	1.00;1.00;1.00;1.00;0.99;0.99;0.99;0.99	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	no support
Bin1021.fa	taxid assigned	based on 2637/2718 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;0.97;0.96;0.96;0.96;0.96;0.90;0.88	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	no support
Bin1022.fa	taxid assigned	based on 3499/3545 ORFs	1;131567;2;1783270;68336;976;200643;171549;1853231;283168	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.93;0.91	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	no support
Bin1023.fa	taxid assigned	based on 6376/6430 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;0.98;0.98;0.82;0.82;0.82;0.82;0.82;0.69;0.69	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no support
Bin1024.fa	taxid assigned	based on 2723/2762 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.89;0.31	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin1025.fa	taxid assigned	based on 2220/2302 ORFs	1;131567;2;1783272;1239;909932;1843488;909930;33024;626940	1.00;1.00;1.00;0.98;0.98;0.97;0.95;0.95;0.95;0.94	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens
Bin1026.fa	taxid assigned	based on 2316/2372 ORFs	1;131567;2;1783272;1239;186801;186802;186806;1730;39496	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.92;0.92;0.82	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium ventriosum
Bin1027.fa	taxid assigned	based on 3067/3269 ORFs	1;131567;2;1783272;1239;47928;1263002	1.00;1.00;1.00;0.94;0.93;0.58;0.53	Bacteria	Firmicutes	NA	NA	NA	NA	Firmicutes bacterium CAG:124
Bin1028.fa	taxid assigned	based on 2453/2478 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.99;0.98;0.98;0.97;0.97	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1029.fa	taxid assigned	based on 2428/2513 ORFs	1;131567;2;1783272;1239;186801;186802;541000	1.00;1.00;1.00;0.99;0.99;0.98;0.97;0.90	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	no support	no support
Bin103.fa	taxid assigned	based on 2520/2548 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.58;0.58	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1030.fa	taxid assigned	based on 2365/2448 ORFs	1;131567;2;1224;68525;28221;213115;194924;872;901	1.00;1.00;1.00;0.97;0.97;0.97;0.96;0.96;0.89;0.85	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
Bin1031.fa	taxid assigned	based on 2889/2916 ORFs	1;131567;2;1783272;1239;186801;186802;541000;1263	1.00;0.99;0.99;0.99;0.99;0.98;0.98;0.95;0.95	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	no support
Bin1032.fa	taxid assigned	based on 2175/2214 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.97;0.97	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin1033.fa	taxid assigned	based on 579/581 ORFs	1;131567;2	1.00;0.82;0.63	Bacteria	no support	no support	no support	no support	no support	no support
Bin1034.fa	taxid assigned	based on 1639/1650 ORFs	1;131567;2;1224;1236;135625;712;724	1.00;1.00;1.00;0.83;0.83;0.75;0.75;0.66	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	no support
Bin1035.fa	taxid assigned	based on 3262/3376 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;0.99;0.99;0.88;0.88;0.88;0.88;0.88;0.82;0.82	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	no support
Bin1036.fa	taxid assigned	based on 2107/2128 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.98;0.98;0.97;0.97	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1037.fa	taxid assigned	based on 1793/1836 ORFs	1;131567;2;1783272;1239;186801;186802;216572	1.00;1.00;1.00;0.98;0.98;0.96;0.96;0.56	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	no support	no support
Bin1038.fa	taxid assigned	based on 1756/1792 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria	no support	no support	no support	no support	no support	no support
Bin1039.fa	taxid assigned	based on 3784/3806 ORFs	1;131567;2	1.00;0.97;0.97	Bacteria	no support	no support	no support	no support	no support	no support
Bin104.fa	taxid assigned	based on 2548/2668 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.54;0.54;0.47;0.46	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1040.fa	taxid assigned	based on 2342/2366 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.92;0.92	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin1041.fa	taxid assigned	based on 1928/1963 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.98;0.98	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin1042.fa	taxid assigned	based on 1849/1884 ORFs	1;131567;2;1783272;1239;186801;186802;216572;459786;2629304	1.00;1.00;1.00;0.99;0.99;0.91;0.91;0.76;0.76;0.41	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	no support
Bin1043.fa	taxid assigned	based on 2026/2059 ORFs	1;131567;2;1224;28216;80840;995019;40544	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	no support
Bin1044.fa	taxid assigned	based on 2176/2256 ORFs	1;131567;2;1224;28216;80840;995019;40544;1944635	1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.30	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella seckii
Bin1045.fa	taxid assigned	based on 1746/1764 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.97;0.97	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1046.fa	taxid assigned	based on 1967/2021 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838;2638335;59823	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.95;0.95;0.91;0.90	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp.
Bin1047.fa	taxid assigned	based on 3096/3195 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.98;0.98	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin1048.fa	taxid assigned	based on 2612/2669 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.48;0.48	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1049.fa	taxid assigned	based on 4236/4257 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.83;0.83;0.83;0.83;0.83;0.73;0.73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no support
Bin105.fa	taxid assigned	based on 2426/2458 ORFs	1;131567;2;1783272;1239;186801;186802;186803	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.91	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	no support	no support
Bin1050.fa	taxid assigned	based on 1969/1991 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.93;0.93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin1051.fa	taxid assigned	based on 2753/2823 ORFs	1;131567;2;1783272;1239;186801;186802;186803;186928;2292271	1.00;1.00;1.00;0.94;0.94;0.89;0.89;0.74;0.72;0.72	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	Lachnospiraceae bacterium AM48-27BH
Bin1052.fa	taxid assigned	based on 1429/1481 ORFs	1;131567;2;1783272;1239;909932;1843489;31977;39948	1.00;1.00;1.00;0.99;0.99;0.98;0.97;0.97;0.95	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	no support
Bin1053.fa	taxid assigned	based on 2230/2254 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.82;0.82;0.82;0.82;0.82;0.81;0.80	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin1054.fa	taxid assigned	based on 2609/2634 ORFs	1;131567;2;1783272;1239;186801;186802;541000;216851	1.00;1.00;1.00;0.98;0.97;0.94;0.94;0.87;0.79	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	no support
Bin1055.fa	taxid assigned	based on 3291/3386 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.94;0.94	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	no support
Bin1056.fa	taxid assigned	based on 2423/2443 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.97;0.97;0.94;0.94	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1057.fa	taxid assigned	based on 3847/3882 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.79;0.79;0.79;0.79;0.79	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin1058.fa	taxid assigned	based on 1935/1951 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.91;0.91	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin1059.fa	taxid assigned	based on 3538/3563 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;0.99;0.99;0.75;0.75;0.75;0.73;0.73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin106.fa	taxid assigned	based on 2268/2284 ORFs	1;131567;2	1.00;0.99;0.99	Bacteria	no support	no support	no support	no support	no support	no support
Bin1060.fa	taxid assigned	based on 2579/2640 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.84;0.83	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no support
Bin1061.fa	taxid assigned	based on 2632/2680 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.98;0.98;0.92;0.92;0.85;0.82	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin1062.fa	taxid assigned	based on 4148/4162 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;0.99;0.99;0.75;0.75;0.75;0.73;0.73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin1063.fa	taxid assigned	based on 3826/3882 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.99;0.99	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1064.fa	taxid assigned	based on 3449/3483 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.90;0.90;0.90;0.89	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1065.fa	taxid assigned	based on 1937/1987 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.99;0.99	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin1066.fa	taxid assigned	based on 1865/1888 ORFs	1;131567;2;1783272;1239;909932;1843489;31977;29465	1.00;1.00;1.00;0.89;0.89;0.88;0.86;0.86;0.86	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	no support
Bin1067.fa	taxid assigned	based on 1385/1406 ORFs	1;131567;2;1783272;1239;526524;526525;128827	1.00;1.00;1.00;0.95;0.94;0.92;0.92;0.92	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	no support	no support
Bin1068.fa	taxid assigned	based on 1754/1792 ORFs	1;131567;2;1783272;1239;909932;1843489;31977;39948	1.00;1.00;1.00;1.00;1.00;0.99;0.98;0.98;0.97	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	no support
Bin1069.fa	taxid assigned	based on 2871/3022 ORFs	1;131567;2;1783272;1239;186801;186802;541000	1.00;0.99;0.99;0.93;0.92;0.85;0.80;0.62	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	no support	no support
Bin107.fa	taxid assigned	based on 2611/2645 ORFs	1;131567;2;1783257;74201;203494;48461;1647988;239934	1.00;1.00;1.00;0.94;0.94;0.94;0.94;0.94;0.94	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	no support
Bin1070.fa	taxid assigned	based on 2464/2480 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.97;0.96;0.91;0.91	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1071.fa	taxid assigned	based on 4013/4048 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.80;0.80;0.80;0.80;0.80	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin1072.fa	taxid assigned	based on 3912/3939 ORFs	1;131567;2	1.00;0.97;0.97	Bacteria	no support	no support	no support	no support	no support	no support
Bin1073.fa	taxid assigned	based on 4763/4786 ORFs	1;131567;2	1.00;0.91;0.78	Bacteria	no support	no support	no support	no support	no support	no support
Bin1074.fa	taxid assigned	based on 4765/4837 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;0.96;0.96;0.53;0.53;0.53;0.53;0.53;0.51;0.51	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no support
Bin1075.fa	taxid assigned	based on 4546/4573 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.87;0.87;0.87;0.87;0.87;0.83;0.83	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no support
Bin1076.fa	taxid assigned	based on 2428/2475 ORFs	1;131567;2;1783272;1239;186801;186802;186803;189330;286137;1262873	1.00;1.00;1.00;0.98;0.98;0.94;0.94;0.85;0.79;0.72;0.72	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea sp. CAG:317
Bin1077.fa	taxid assigned	based on 2288/2319 ORFs	1;131567;2;1783272;1239;186801;186802;541000;216851	1.00;1.00;0.99;0.99;0.99;0.97;0.97;0.89;0.82	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	no support
Bin1078.fa	taxid assigned	based on 2651/2697 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;1.00;0.99	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin1079.fa	taxid assigned	based on 2249/2272 ORFs	1;131567;2;1783257;74201;203494;48461;1647988;239934	1.00;1.00;1.00;0.82;0.82;0.82;0.82;0.82;0.82	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	no support
Bin108.fa	taxid assigned	based on 2586/2620 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.95;0.95	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1080.fa	taxid assigned	based on 3470/3473 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.79;0.79;0.79;0.79;0.79;0.77;0.77	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no support
Bin1081.fa	taxid assigned	based on 1892/1897 ORFs	1;131567;2;1783272;201174;1760;85004;31953;1678	1.00;0.96;0.96;0.82;0.72;0.72;0.72;0.71;0.71	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	no support
Bin1082.fa	taxid assigned	based on 2793/2810 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.98;0.98;0.92;0.92	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1083.fa	taxid assigned	based on 3243/3279 ORFs	1;131567;2;1783272;1239;186801;186802;186803	1.00;1.00;1.00;0.97;0.97;0.92;0.92;0.78	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	no support	no support
Bin1084.fa	taxid assigned	based on 2305/2403 ORFs	1;131567;2;1783272;1239;909932;1843489;31977;39948	1.00;1.00;1.00;0.99;0.99;0.98;0.97;0.97;0.95	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	no support
Bin1085.fa	taxid assigned	based on 2542/2576 ORFs	1;131567;2;1783272;201174;1760;85004;31953;1678	1.00;0.97;0.97;0.83;0.75;0.74;0.74;0.74;0.73	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	no support
Bin1086.fa	taxid assigned	based on 2773/2836 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.82;0.81;0.79;0.79	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1087.fa	taxid assigned	based on 4613/4633 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.86;0.86;0.86;0.86;0.86;0.78;0.78	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	no support
Bin1088.fa	taxid assigned	based on 3210/3273 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.99;0.98	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin1089.fa	taxid assigned	based on 5005/5039 ORFs	1;131567;2	1.00;0.97;0.97	Bacteria	no support	no support	no support	no support	no support	no support
Bin109.fa	taxid assigned	based on 3870/4040 ORFs	1;131567;2;1224;68525;28221;213115;194924;35832	1.00;1.00;1.00;0.99;0.98;0.98;0.98;0.98;0.96	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	no support
Bin1090.fa	taxid assigned	based on 2580/2624 ORFs	1;131567;2;1783272;1239;186801;186802;186806;1730;84372;1262889	1.00;1.00;1.00;0.97;0.97;0.95;0.95;0.88;0.88;0.87;0.87	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:38
Bin1091.fa	taxid assigned	based on 2998/3044 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.99;0.99;0.94;0.94;0.87;0.84	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin1092.fa	taxid assigned	based on 3206/3236 ORFs	1;131567;2;1224;1236;135625;712;724	1.00;1.00;1.00;0.88;0.86;0.80;0.80;0.69	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	no support
Bin1093.fa	taxid assigned	based on 2982/3033 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.95;0.94;0.89;0.89	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin1094.fa	taxid assigned	based on 1648/1698 ORFs	1;131567;2;1224	1.00;1.00;1.00;0.79	Bacteria	Proteobacteria	no support	no support	no support	no support	no support
Bin1095.fa	taxid assigned	based on 2397/2421 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.92;0.92	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin1096.fa	taxid assigned	based on 2582/2619 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.99;0.95;0.95	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	no support
